Date,Time,Time_Fract,Site_Name,Cond_uS_cm,nLF_Cond_uS/cm,ODO_%_sat,ODO_%_local,ODO_mg/L,Sal_psu,SpCond_uS/cm,TDS_mg/L,Turbidity_FNU,TSS_mg/L,Wiper_Position_volt,pH,pH_mV,Temp_degC,Battery_V,Cable_Pwr_V
2/14/2020,14:15:00,0,Default Site,3318.8,4357.7,101.8,101.8,10.54,2.29,4286.5,2786,1165.69,0,1.194,7.49,-50.8,13.181,5.52,0
2/14/2020,14:20:00,0,Default Site,3320.7,4357.8,101.8,101.8,10.53,2.29,4286.6,2786,1163.06,0,1.19,7.48,-50.4,13.202,5.52,0
2/14/2020,14:25:00,0,Default Site,3322.4,4357.6,101.8,101.8,10.53,2.29,4286.5,2786,1164.35,0,1.204,7.47,-49.9,13.225,5.51,0
2/14/2020,14:30:00,0,Default Site,3324.3,4357.6,101.8,101.8,10.52,2.29,4286.5,2786,1163.16,0,1.189,7.47,-49.5,13.247,5.52,0
2/14/2020,14:55:00,0,Default Site,3332.9,4357.2,101.8,101.8,10.49,2.29,4286.4,2786,1162.32,0,1.19,7.46,-48.8,13.354,5.51,0
2/14/2020,15:00:00,0,Default Site,3335,4357.5,101.8,101.8,10.48,2.29,4286.8,2786,1161.92,0,1.186,7.45,-48.8,13.376,5.52,0
2/14/2020,15:05:00,0,Default Site,3336.8,4357.3,101.8,101.8,10.48,2.29,4286.7,2786,1158.67,0,1.19,7.46,-49,13.399,5.49,0
2/14/2020,15:10:00,0,Default Site,3338.5,4357,101.7,101.7,10.47,2.29,4286.4,2786,1170.47,0,1.193,7.46,-48.9,13.422,5.49,0
2/14/2020,15:15:00,0,Default Site,3340.5,4357.2,101.7,101.7,10.46,2.29,4286.7,2786,1162.61,0,1.194,7.46,-48.8,13.444,5.49,0
2/14/2020,15:20:00,0,Default Site,3342.3,4357.1,101.7,101.7,10.46,2.29,4286.7,2786,1162.37,0,1.193,7.45,-48.7,13.466,5.49,0
2/14/2020,15:25:00,0,Default Site,3314,4308.9,101.7,101.7,10.44,2.27,4239.6,2756,1150.35,0,1.192,7.45,-48.4,13.57,5.49,0
2/14/2020,15:30:00,0,Default Site,3296,4274.7,101.8,101.8,10.43,2.25,4206.2,2734,1140.68,0,1.193,7.44,-48.2,13.67,5.49,0
