ntu_voltage,ntu,T_deg_C,temp_good,tdr_voltage,ppm,serial_number,serial_number_good,battery_fault,battery_charging,rtc_temperature,start_time_str,end_time_str,btemperature,bvoltage,bcapacity,uptime,sensor-name,gps.latitude,gps.longitude,gps.speed,gps.altitude,gps.height,gps.lat_err,gps.long_err,gps.alt_err,gps.hours,gps.seconds,gps.microseconds,gps.day,gps.month,gps.year,gps.fix_quality,gps.satellites,gps.total_sats,gps.gpsgood,unknown1,unknown2
0.9,2999.98999,25,0,2.2648633,1089.732178,112 152 74 74 1 0 0 199 ,1,0,0,19.25,14/02/2020 14:15:07,14/02/2020 14:15:12,19.53125,8.29,-0.0927734,0,1098,NONAME,      nan,      nan,      nan,      nan,      nan,0,0,0,20,16,3,0,14,2,20,0,3,5,0
1,2999.98999,25,0,2.2423046,1070.140259,112 152 74 74 1 0 0 199 ,1,0,0,19.5,14/02/2020 14:20:06,14/02/2020 14:20:10,19.6875,8.29,-0.0927734,0,1399,NONAME,52.1338425,-106.6316528,0.419,516.4000244,-22.6000004,0,0,0,20,21,0,0,14,2,20,1,7,10,1
1,2999.98999,25,0,2.2777538,1101.075928,112 152 74 74 1 0 0 199 ,1,0,0,19.5,14/02/2020 14:25:06,14/02/2020 14:25:10,19.65625,8.2799997,-0.0927734,0,1700,NONAME,52.1338959,-106.6319046,0.901,547.7000122,-22.6000004,0,0,0,20,26,1,0,14,2,20,1,7,9,1
0.9,2999.98999,25,0,2.2777538,1101.075928,112 152 74 74 1 0 0 199 ,1,0,0,19.5,14/02/2020 14:30:06,14/02/2020 14:30:11,19.6875,8.2699995,-0.0878906,0,2002,NONAME,      nan,      nan,      nan,      nan,      nan,0,0,0,20,31,1,0,14,2,20,0,3,9,0
1,2999.98999,25,0,2.2745311,1098.229736,112 152 74 74 1 0 0 199 ,1,0,0,19.75,14/02/2020 14:55:06,14/02/2020 14:55:10,19.8125,8.2600002,-0.0927734,0,3511,NONAME,      nan,      nan,      nan,      nan,      nan,0,0,0,20,56,1,0,14,2,20,0,0,11,0
1.3,2999.98999,25,0,2.1875196,1023.910339,112 152 74 74 1 0 0 199 ,1,0,0,19.75,14/02/2020 15:00:03,14/02/2020 15:00:06,19.8125,8.25,-0.0927734,0,3809,NONAME,52.1338959,-106.6316071,0.195,366,-22.6000004,0,0,0,21,0,56,0,14,2,20,1,8,11,1
1.2,2999.98999,25,0,2.2068555,1040.011108,112 152 74 74 1 0 0 199 ,1,0,0,19.75,14/02/2020 15:05:06,14/02/2020 15:05:10,19.53125,8.25,-0.0878906,0,4114,NONAME,52.1339836,-106.6309967,0.289,      nan,      nan,0,0,0,21,6,1,0,14,2,20,0,4,10,1
1.2,2999.98999,25,0,2.2261913,1056.346191,112 152 74 74 1 0 0 199 ,1,0,0,19.75,14/02/2020 15:10:03,14/02/2020 15:10:06,19.5,8.25,-0.0976562,0,4412,NONAME,52.1337891,-106.6317291,0.413,475.5,-22.6000004,0,0,0,21,10,56,0,14,2,20,1,7,10,1
1.2,2999.98999,25,0,2.2036328,1037.311401,112 152 74 74 1 0 0 199 ,1,0,0,19.5,14/02/2020 15:15:06,14/02/2020 15:15:09,19.3125,8.25,-0.0878906,0,4718,NONAME,52.1337013,-106.6318741,0.377,498.2999878,-22.6000004,0,0,0,21,16,0,0,14,2,20,1,6,10,1
1.3,2999.98999,25,0,2.210078,1042.717041,112 152 74 74 1 0 0 199 ,1,0,0,19.5,14/02/2020 15:20:03,14/02/2020 15:20:06,19.3125,8.2399998,-0.0927734,0,5016,NONAME,52.13377,-106.6317978,1.008,508.3999939,-22.6000004,0,0,0,21,20,57,0,14,2,20,1,6,10,1
1.3,2999.98999,25,0,2.1875196,1023.910339,112 152 74 74 1 0 0 199 ,1,0,0,19.5,14/02/2020 15:25:06,14/02/2020 15:25:10,19.40625,8.2399998,-0.0878906,0,5321,NONAME,      nan,      nan,      nan,      nan,      nan,0,0,0,21,26,1,0,14,2,20,0,4,10,0
2,2999.98999,25,0,2.0747266,934.5144653,112 152 74 74 1 0 0 199 ,1,0,0,19.75,14/02/2020 15:30:03,14/02/2020 15:30:05,19.375,8.2299995,-0.0927734,0,5619,NONAME,52.1339912,-106.6313324,1.424,442.2999878,-22.6000004,0,0,0,21,30,56,0,14,2,20,1,5,7,1
