"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 00:00","2020","06","01","00:00","18.6","","4.2","","39","","0.0","","23","","49","","","","94.00","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 01:00","2020","06","01","01:00","16.6","","6.8","","52","","0.0","","22","","42","","","","93.95","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 02:00","2020","06","01","02:00","16.2","","9.9","","66","","0.0","","23","","58","","","","93.85","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 03:00","2020","06","01","03:00","15.7","","10.0","","69","","0.0","","24","","61","","","","93.87","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 04:00","2020","06","01","04:00","15.5","","9.5","","67","","0.0","","25","","67","","","","93.93","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 05:00","2020","06","01","05:00","14.3","","9.5","","73","","0.0","","26","","65","","","","94.07","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 06:00","2020","06","01","06:00","14.9","","8.5","","66","","0.0","","27","","56","","","","94.18","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 07:00","2020","06","01","07:00","15.2","","7.3","","59","","0.0","","27","","47","","","","94.34","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 08:00","2020","06","01","08:00","16.5","","7.9","","57","","0.0","","28","","53","","","","94.41","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 09:00","2020","06","01","09:00","17.8","","6.7","","48","","0.0","","29","","59","","","","94.44","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 10:00","2020","06","01","10:00","19.0","","6.1","","43","","0.0","","29","","50","","","","94.58","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 11:00","2020","06","01","11:00","20.6","","4.7","","35","","0.0","","30","","47","","","","94.62","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 12:00","2020","06","01","12:00","22.2","","3.6","","30","","0.0","","29","","43","","","","94.66","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 13:00","2020","06","01","13:00","23.5","","2.9","","26","","0.0","","30","","49","","","","94.68","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 14:00","2020","06","01","14:00","24.5","","2.7","","24","","0.0","","30","","46","","","","94.67","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 15:00","2020","06","01","15:00","23.7","","1.8","","24","","0.0","","29","","41","","","","94.70","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 16:00","2020","06","01","16:00","23.7","","2.4","","25","","0.0","","30","","34","","","","94.72","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 17:00","2020","06","01","17:00","23.6","","2.3","","25","","0.0","","29","","30","","","","94.75","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 18:00","2020","06","01","18:00","24.1","","2.4","","24","","0.0","","29","","30","","","","94.78","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 19:00","2020","06","01","19:00","22.7","","1.8","","25","","0.0","","29","","29","","","","94.84","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 20:00","2020","06","01","20:00","20.1","","1.2","","28","","0.0","","29","","21","","","","94.89","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 21:00","2020","06","01","21:00","16.6","","2.2","","38","","0.0","","29","","11","","","","94.93","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 22:00","2020","06","01","22:00","13.0","","1.9","","47","","0.0","","25","","10","","","","94.98","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-01 23:00","2020","06","01","23:00","13.4","","3.2","","50","","0.0","","29","","14","","","","94.99","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 00:00","2020","06","02","00:00","12.0","","2.9","","54","","0.0","","30","","13","","","","95.05","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 01:00","2020","06","02","01:00","9.9","","2.7","","61","","0.0","","23","","7","","","","95.04","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 02:00","2020","06","02","02:00","9.5","","3.2","","65","","0.0","","27","","11","","","","95.07","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 03:00","2020","06","02","03:00","12.7","","4.7","","59","","0.0","","27","","17","","","","95.18","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 04:00","2020","06","02","04:00","11.6","","8.3","","80","","0.6","","24","","11","","","","95.25","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 05:00","2020","06","02","05:00","10.9","","8.6","","86","","0.0","","25","","12","","","","95.24","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 06:00","2020","06","02","06:00","11.6","","7.8","","78","","0.0","","28","","14","","","","95.28","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 07:00","2020","06","02","07:00","11.9","","7.8","","76","","0.0","","27","","18","","","","95.33","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 08:00","2020","06","02","08:00","14.0","","8.2","","68","","0.0","","28","","20","","","","95.37","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 09:00","2020","06","02","09:00","16.4","","7.1","","54","","0.0","","29","","30","","","","95.40","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 10:00","2020","06","02","10:00","19.1","","5.9","","42","","0.0","","30","","28","","","","95.42","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 11:00","2020","06","02","11:00","20.4","","2.5","","30","","0.0","","29","","28","","","","95.41","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 12:00","2020","06","02","12:00","21.4","","0.7","","25","","0.0","","31","","26","","","","95.37","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 13:00","2020","06","02","13:00","22.5","","0.4","","23","","0.0","","29","","26","","","","95.36","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 14:00","2020","06","02","14:00","21.7","","-0.3","","23","","0.0","","28","","24","","","","95.33","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 15:00","2020","06","02","15:00","24.2","","0.0","","20","","0.0","","26","","28","","","","95.29","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 16:00","2020","06","02","16:00","22.6","","-1.2","","20","","0.0","","27","","25","","","","95.27","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 17:00","2020","06","02","17:00","22.7","","-1.1","","20","","0.0","","25","","24","","","","95.22","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 18:00","2020","06","02","18:00","23.5","","-0.1","","21","","0.0","","27","","28","","","","95.18","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 19:00","2020","06","02","19:00","23.3","","-0.3","","21","","0.0","","28","","20","","","","95.11","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 20:00","2020","06","02","20:00","21.8","","-0.2","","23","","0.0","","26","","14","","","","95.05","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 21:00","2020","06","02","21:00","18.5","","1.3","","31","","0.0","","22","","5","","","","95.03","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 22:00","2020","06","02","22:00","16.5","","1.6","","36","","0.0","","18","","6","","","","95.03","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-02 23:00","2020","06","02","23:00","14.7","","2.4","","43","","0.0","","16","","10","","","","95.00","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 00:00","2020","06","03","00:00","13.1","","2.8","","50","","0.0","","14","","12","","","","94.91","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 01:00","2020","06","03","01:00","11.9","","2.5","","52","","0.0","","15","","10","","","","94.82","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 02:00","2020","06","03","02:00","12.2","","2.7","","52","","0.0","","16","","14","","","","94.73","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 03:00","2020","06","03","03:00","14.6","","2.2","","43","","0.0","","15","","21","","","","94.58","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 04:00","2020","06","03","04:00","15.7","","2.3","","41","","0.0","","15","","18","","","","94.45","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 05:00","2020","06","03","05:00","14.6","","3.1","","46","","0.0","","17","","12","","","","94.35","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 06:00","2020","06","03","06:00","14.6","","3.7","","48","","0.0","","19","","18","","","","94.30","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 07:00","2020","06","03","07:00","15.1","","3.6","","46","","0.0","","20","","22","","","","94.22","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 08:00","2020","06","03","08:00","17.5","","6.1","","47","","0.0","","26","","33","","","","94.22","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 09:00","2020","06","03","09:00","17.1","","7.5","","53","","0.0","","26","","44","","","","94.30","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 10:00","2020","06","03","10:00","14.9","","6.3","","56","","0.0","","27","","46","","","","94.43","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 11:00","2020","06","03","11:00","15.5","","6.5","","55","","0.0","","27","","48","","","","94.46","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 12:00","2020","06","03","12:00","15.0","","5.0","","51","","0.0","","27","","49","","","","94.50","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 13:00","2020","06","03","13:00","15.5","","4.5","","48","","0.0","","28","","48","","","","94.51","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 14:00","2020","06","03","14:00","16.3","","4.3","","45","","0.0","","29","","53","","","","94.56","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 15:00","2020","06","03","15:00","16.1","","4.0","","44","","0.0","","29","","51","","","","94.58","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 16:00","2020","06","03","16:00","16.1","","4.0","","45","","0.0","","29","","49","","","","94.61","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 17:00","2020","06","03","17:00","16.5","","3.1","","41","","0.0","","28","","55","","","","94.61","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 18:00","2020","06","03","18:00","17.4","","3.0","","38","","0.0","","28","","48","","","","94.62","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 19:00","2020","06","03","19:00","16.2","","3.8","","43","","0.0","","29","","48","","","","94.64","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 20:00","2020","06","03","20:00","15.1","","3.7","","46","","0.0","","29","","41","","","","94.64","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 21:00","2020","06","03","21:00","13.0","","4.2","","55","","0.0","","29","","35","","","","94.65","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-06-03 22:00","2020","06","03","22:00","11.9","","4.3","","60","","0.0","","28","","34","","","","94.65","","","","","","NA"
