Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Stn Press (kPa),Weather
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 11:00,2020,6,17,11:00,14.5,12.3,86,0,,36,,26,95.05,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 12:00,2020,6,17,12:00,16.2,14,87,0,,1,,30,95.05,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 13:00,2020,6,17,13:00,15.3,12.4,83,0,,36,,26,95.08,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 14:00,2020,6,17,14:00,14.6,11.5,82,0,,1,,24,95.16,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 15:00,2020,6,17,15:00,13.5,10.7,83,0,,1,,27,95.19,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 16:00,2020,6,17,16:00,13.3,10.2,81,0,,2,,29,95.27,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 17:00,2020,6,17,17:00,11.9,9.1,83,0,,1,,31,95.27,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 18:00,2020,6,17,18:00,11.6,8.7,83,0,,2,,27,95.34,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 19:00,2020,6,17,19:00,10.9,8.3,84,0,,3,,29,95.39,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 20:00,2020,6,17,20:00,9.7,8.3,91,0,,2,,24,95.47,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 21:00,2020,6,17,21:00,8.9,7.4,90,0.3,,2,,26,95.52,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 22:00,2020,6,17,22:00,8.4,7.2,92,1,,2,,26,95.56,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-17 23:00,2020,6,17,23:00,8.1,6.8,92,0.3,,2,,24,95.57,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 0:00,2020,6,18,0:00,8,6.7,92,0.5,,1,,24,95.59,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 1:00,2020,6,18,1:00,7.7,6.5,92,0.9,,1,,23,95.64,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 2:00,2020,6,18,2:00,7.5,6.5,93,0.6,,1,,23,95.66,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 3:00,2020,6,18,3:00,7.5,6,90,0,,1,,25,95.67,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 4:00,2020,6,18,4:00,7.4,5.8,90,0,,1,,25,95.7,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 5:00,2020,6,18,5:00,7.3,5.8,90,0,,36,,22,95.71,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 6:00,2020,6,18,6:00,7.7,5.4,85,0,,36,,17,95.74,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 7:00,2020,6,18,7:00,8.3,5.7,84,0,,35,,23,95.74,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 8:00,2020,6,18,8:00,8.5,5.2,80,0,,35,,25,95.77,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 9:00,2020,6,18,9:00,8.9,5.5,79,0,,35,,24,95.78,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 10:00,2020,6,18,10:00,9.8,4.6,70,0,,35,,25,95.8,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 11:00,2020,6,18,11:00,11.7,5,63,0,,36,,25,95.79,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 12:00,2020,6,18,12:00,13.1,4.9,57,0,,35,,25,95.74,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 13:00,2020,6,18,13:00,14.2,4.6,52,0,,35,,27,95.72,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 14:00,2020,6,18,14:00,15.3,5,50,0,,35,,25,95.72,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 15:00,2020,6,18,15:00,15.9,4,45,0,,35,,24,95.7,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 16:00,2020,6,18,16:00,16.1,3.5,43,0,,36,,24,95.68,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 17:00,2020,6,18,17:00,16,2.2,39,0,,35,,24,95.67,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 18:00,2020,6,18,18:00,16.5,2,38,0,,34,,22,95.63,NA
-106.72,52.17,SASKATOON RCS,4057165,2020-06-18 19:00,2020,6,18,19:00,15,2.2,42,0,,34,,21,95.63,NA
